I_e,Tau_Syn_Ex,Result
1,5.600000000000004,0.0
1,5.700000000000005,0.0
1,5.800000000000004,0.0
1,5.900000000000004,0.0
1,6.000000000000004,0.0
1,6.100000000000005,0.0
1,6.200000000000005,26.31756756756757
1,6.300000000000004,33.99493029150824
1,6.400000000000005,33.99239543726236
1,6.500000000000005,53.49818181818182
1,6.600000000000005,41.83005617977528
1,6.700000000000005,42.550561797752806
1,6.800000000000005,39.52734375
1,6.900000000000006,38.49556400506971
1,7.000000000000005,16.74529288702929
1,7.100000000000005,16.461498973305954
1,7.2000000000000055,17.95250521920668
1,7.300000000000006,15.488121918422232
1,7.400000000000006,12.318716577540107
1,7.500000000000005,12.018782608695652
1,7.600000000000006,8.789772727272727
1,7.700000000000006,8.198440009176416
1,7.800000000000006,7.9607930496769885
1,7.900000000000006,7.799432562199913
1,8.000000000000007,7.584072665821715
1,8.100000000000007,6.979694449816283
1,8.200000000000006,6.573952641165756
1,8.300000000000006,6.484369385555157
1,8.400000000000006,6.400425607377194
1,8.500000000000007,6.309615384615385
1,8.600000000000007,6.122333333333334
1,8.700000000000006,5.243872039883673
1,8.800000000000008,5.168145216323188
1,8.900000000000007,4.951228978007762
1,9.000000000000007,3.889276910435497
1,9.100000000000007,3.6395617070357553
1,9.200000000000006,3.510427903631787
1,9.300000000000008,3.922060965198614
1,9.400000000000007,3.8937082460863497
1,9.500000000000007,3.867102396514161
1,9.600000000000009,3.1038868134488515
1,9.700000000000008,2.990732940185341
1,9.800000000000008,2.93609022556391
1,9.900000000000007,2.9176628810520024
2,1.0,0.0
2,1.1,0.0
2,1.2000000000000002,0.0
2,1.3000000000000003,0.0
2,1.4000000000000004,0.0
2,1.5000000000000004,0.0
2,1.6000000000000005,0.0
2,1.7000000000000006,0.0
2,1.8000000000000007,0.0
2,1.9000000000000008,0.0
2,2.000000000000001,0.0
2,2.100000000000001,0.0
2,2.200000000000001,0.0
2,2.300000000000001,0.0
2,2.4000000000000012,0.0
2,2.5000000000000013,0.0
2,2.6000000000000014,0.0
2,2.7000000000000015,0.0
2,2.8000000000000016,0.0
2,2.9000000000000017,0.0
2,3.0000000000000018,0.0
2,3.100000000000002,0.0
2,3.200000000000002,0.0
2,3.300000000000002,0.0
2,3.400000000000002,0.0
2,3.500000000000002,0.0
2,3.6000000000000023,0.0
2,3.7000000000000024,0.0
2,3.8000000000000025,0.0
2,3.9000000000000026,0.0
2,4.000000000000003,0.0
2,4.100000000000003,0.0
2,4.200000000000003,0.0
2,4.3000000000000025,0.0
2,4.400000000000003,0.0
2,4.5000000000000036,0.0
2,4.600000000000003,0.0
2,4.700000000000003,0.0
2,4.800000000000003,0.0
2,4.900000000000004,0.0
2,5.0000000000000036,0.0
2,5.100000000000003,0.0
2,5.200000000000004,0.0
2,5.300000000000004,0.0
2,5.400000000000004,0.0
2,5.5000000000000036,0.0
2,5.600000000000004,0.0
2,5.700000000000005,0.0
2,5.800000000000004,0.0
2,5.900000000000004,0.0
2,6.000000000000004,0.0
2,6.100000000000005,0.0
2,6.200000000000005,26.31644144144144
2,6.300000000000004,33.99493029150824
2,6.400000000000005,33.95189873417721
2,6.500000000000005,53.31340579710145
2,6.600000000000005,41.83286516853933
2,6.700000000000005,42.49509116409537
2,6.800000000000005,38.82480818414322
2,6.900000000000006,38.49429657794677
2,7.000000000000005,16.7201044386423
2,7.100000000000005,16.428790983606557
2,7.2000000000000055,17.87785862785863
2,7.300000000000006,14.563451776649746
2,7.400000000000006,12.278962331201138
2,7.500000000000005,10.0
2,7.600000000000006,8.76835879743716
2,7.700000000000006,8.162859753312015
2,7.800000000000006,7.939568984670073
2,7.900000000000006,7.7790596430126255
2,8.000000000000007,7.228155339805825
2,8.100000000000007,6.6417004048583
2,8.200000000000006,6.564568934157876
2,8.300000000000006,6.479533213644524
2,8.400000000000006,6.386834188639179
2,8.500000000000007,6.30979020979021
2,8.600000000000007,6.080781327594769
2,8.700000000000006,5.236620107868898
2,8.800000000000008,5.165325330787069
2,8.900000000000007,4.170374449339207
2,9.000000000000007,3.8865852406856205
2,9.100000000000007,3.5561607813673928
2,9.200000000000006,3.510743504450238
2,9.300000000000008,3.9198956032925114
2,9.400000000000007,3.8919619275427317
2,9.500000000000007,3.8646147755950317
2,9.600000000000009,3.1031468531468533
2,9.700000000000008,2.976712276556009
2,9.800000000000008,2.934214975391667
2,9.900000000000007,2.916791156259337
3,1.0,0.0
3,1.1,0.0
3,1.2000000000000002,0.0
3,1.3000000000000003,0.0
3,1.4000000000000004,0.0
3,1.5000000000000004,0.0
3,1.6000000000000005,0.0
3,1.7000000000000006,0.0
3,1.8000000000000007,0.0
3,1.9000000000000008,0.0
3,2.000000000000001,0.0
3,2.100000000000001,0.0
3,2.200000000000001,0.0
3,2.300000000000001,0.0
3,2.4000000000000012,0.0
3,2.5000000000000013,0.0
3,2.6000000000000014,0.0
3,2.7000000000000015,0.0
3,2.8000000000000016,0.0
3,2.9000000000000017,0.0
3,3.0000000000000018,0.0
3,3.100000000000002,0.0
3,3.200000000000002,0.0
3,3.300000000000002,0.0
3,3.400000000000002,0.0
3,3.500000000000002,0.0
3,3.6000000000000023,0.0
3,3.7000000000000024,0.0
3,3.8000000000000025,0.0
3,3.9000000000000026,0.0
3,4.000000000000003,0.0
3,4.100000000000003,0.0
3,4.200000000000003,0.0
3,4.3000000000000025,0.0
3,4.400000000000003,0.0
3,4.5000000000000036,0.0
3,4.600000000000003,0.0
3,4.700000000000003,0.0
3,4.800000000000003,0.0
3,4.900000000000004,0.0
3,5.0000000000000036,0.0
3,5.100000000000003,0.0
3,5.200000000000004,0.0
3,5.300000000000004,0.0
3,5.400000000000004,0.0
3,5.5000000000000036,0.0
3,5.600000000000004,0.0
3,5.700000000000005,0.0
3,5.800000000000004,0.0
3,5.900000000000004,0.0
3,6.000000000000004,0.0
3,6.100000000000005,0.0
3,6.200000000000005,26.34836527621195
3,6.300000000000004,33.99493029150824
3,6.400000000000005,33.90771175726928
3,6.500000000000005,53.124548736462096
3,6.600000000000005,41.842696629213485
3,6.700000000000005,42.44257703081232
3,6.800000000000005,38.536802030456855
3,6.900000000000006,16.443864229765012
3,7.000000000000005,16.678125
3,7.100000000000005,16.412487205731832
3,7.2000000000000055,17.777260981912146
3,7.300000000000006,14.508638853771597
3,7.400000000000006,12.239815798795608
3,7.500000000000005,10.000281690140845
3,7.600000000000006,8.748955003688222
3,7.700000000000006,8.138465042131633
3,7.800000000000006,7.91845778861068
3,7.900000000000006,7.762163336229365
3,8.000000000000007,7.207745058491327
